start;stop;ligne;time;distance
PORTEDELAVILLETTE;AUBERVILLIERSPANTINQUATRECHEMINS;7;2.230570431510495;1115.2852157552475
CORENTINCARIOU;PORTEDELAVILLETTE;7;1.2170818901481062;608.5409450740531
CRIMEE;CORENTINCARIOU;7;1.6803567758694475;840.1783879347238
RIQUET;CRIMEE;7;1.2229708790092593;611.4854395046297
STALINGRAD;RIQUET;7;1.6151782503027146;807.5891251513573
LOUISBLANC;STALINGRAD;7;1.3908394960929995;695.4197480464998
CHATEAULANDON;LOUISBLANC;7;1.2825540982550363;641.2770491275181
GAREDELEST;CHATEAULANDON;7;1.2887490324882118;644.374516244106
POISSONNIERE;GAREDELEST;7;1.8033369148782064;901.6684574391031
CADET;POISSONNIERE;7;1.315012491078568;657.506245539284
LEPELETIER;CADET;7;1.1187085738155282;559.3542869077642
CHAUSSEEDANTINLAFAYETTE;LEPELETIER;7;1.5758986600010958;787.9493300005479
OPERA;CHAUSSEEDANTINLAFAYETTE;7;1.0672984106619348;533.6492053309673
PYRAMIDES;OPERA;7;1.5410247738699758;770.512386934988
PALAISROYALMUSEEDULOUVRE;PYRAMIDES;7;1.3681700001258084;684.0850000629042
PONTNEUF;PALAISROYALMUSEEDULOUVRE;7;1.6918443130940075;845.9221565470037
CHATELET;PONTNEUF;7;1.369960909731092;684.980454865546
PONTMARIE;CHATELET;7;2.088705230678047;1044.3526153390235
SULLYMORLAND;PONTMARIE;7;1.3781887594184077;689.0943797092038
JUSSIEU;SULLYMORLAND;7;2.055126736872785;1027.5633684363925
PLACEMONGE;JUSSIEU;7;1.3014598810221858;650.7299405110929
CENSIERDAUBENTON;PLACEMONGE;7;1.0340916973443832;517.0458486721916
LESGOBELINS;CENSIERDAUBENTON;7;1.5356639097615032;767.8319548807516
PLACEDITALIE;LESGOBELINS;7;1.6729622177390289;836.4811088695144
TOLBIAC;PLACEDITALIE;7;1.5402537189441463;770.1268594720732
MAISONBLANCHE;TOLBIAC;7;1.4050564928919749;702.5282464459874
PORTEDECHOISY;PORTEDITALIE;7;1.223531531128115;611.7657655640575
PORTEDIVRY;PORTEDECHOISY;7;1.2723871324318148;636.1935662159074
PIERREETMARIECURIE;PORTEDIVRY;7;2.181562233407851;1090.7811167039254
MAIRIEDIVRY;PIERREETMARIECURIE;7;1.9164420152979589;958.2210076489795
VILLEJUIFLEOLAGRANGE;LEKREMLINBICETRE;7;1.7353492803382011;867.6746401691006
